unit,V1,V2,group
57,4.95E-02,4.30E-02,N
58,3.99E-02,-2.90E-01,N
59,-1.20E-02,-1.90E-01,N
60,-6.70E-03,-6.20E-01,N
61,5.41E-02,-8.20E-03,N
62,-2.60E-01,-9.30E-02,A
63,7.28E-02,1.32E-01,N
64,1.62E-01,6.26E-02,A
65,8.01E-02,8.09E-02,A
66,1.74E-01,3.25E-01,A
67,2.14E-01,-1.40E-03,A
68,2.67E-01,-2.40E-01,A
69,-4.80E-01,3.90E-01,A
70,-5.00E-01,3.02E-01,A
71,2.55E-02,6.57E-01,A
72,8.34E-01,8.37E-01,A
73,2.27E-01,3.55E-01,A
74,1.09E+00,-3.10E-01,A
75,-6.90E-02,1.06E-01,A
76,-8.80E-03,5.21E-01,A
77,1.69E-01,6.55E-01,A
78,6.19E-02,4.39E-01,A
79,4.53E-02,2.42E-01,A
80,-4.90E-02,1.33E-01,A
81,-6.70E-02,2.57E-01,A
82,6.68E-01,1.30E+00,A
83,8.45E-02,2.54E-01,A
84,-2.00E-01,1.79E-01,A
85,-2.60E-01,-2.60E-02,A
86,6.42E-02,3.18E-01,A
87,-3.10E-02,2.49E-01,A
88,-3.80E-01,-4.20E-01,A
89,2.84E-02,2.25E-01,A
90,3.13E-01,-2.10E-01,A
91,-9.10E-01,1.63E+00,A
92,-0.069914102,-0.226230122,N
93,-0.084110751,-0.472752441,N
94,-0.097322709,-0.39795173,N
95,-0.127303007,-0.050274663,N
96,0.147082001,-0.060239304,N
97,0.248169037,0.004733251,N
98,0.064373717,0.053420194,N
99,0.02446101,-0.349884596,N
100,0.101225416,-0.208816955,N
101,0.189971274,-0.201721282,N
102,-0.136576857,0.026162918,N
103,0.106530906,-0.082344147,N
104,0.175360698,-0.145130518,N
105,-0.015259275,-0.551676655,N
106,-0.113955185,-0.193631483,N
107,-0.057456257,-0.444339869,N
108,0.057044773,-0.011225,N
109,0.069124313,-0.571649995,N
110,0.020719164,-0.722850084,N
111,-0.033803685,-0.405742282,N
112,0.00857205,-0.21381439,N
113,0.092347087,-0.109120049,N
114,0.032944909,-0.106743925,N
115,-0.005071231,-0.348406401,N
116,0.08326186,-0.074382368,N
117,0.054596316,-0.100196557,N
118,0.257010513,-0.346489271,N
119,0.06121031,-0.43150413,N
120,0.196593758,-0.3428879,N
121,0.066282987,-0.172896062,N
122,-0.02601035,-0.397665363,N
123,-0.033510638,-0.197282501,N
124,-0.132154884,-0.26216162,N
125,0.253617453,-0.103055106,N
126,0.275564589,-0.217728698,N
127,0.169029308,0.034116106,N
128,-0.141958772,-0.420384933,N
129,0.12775514,-0.472225746,N
130,-0.011574813,-0.335280737,N
131,0.077168044,-0.485593353,N
132,-0.061030192,-0.28441434,N
133,-0.028603682,-0.736035258,N
134,-0.133133584,-0.856721529,N
135,-0.138268179,-0.280394406,N
136,0.108805877,-0.076681557,N
137,0.177611447,-0.207910966,N
138,-0.212376144,-0.340015055,N
139,0.081315226,-0.356147408,N
140,0.079238613,-0.092274817,N
141,0.172331741,-0.091502114,N
142,-0.128532927,-0.114309257,N
143,-0.041748403,-0.282433364,N
144,-0.185951067,-0.445896587,N
145,0.15985793,-0.331831197,N
146,-0.002785257,-0.189018674,N
147,0.118966935,-0.621190589,N
148,-0.025895954,0.136735314,N
149,0.062414977,-0.212883364,N
150,-0.107440553,-0.284848817,N
151,-0.051861633,-0.760050697,N
152,-0.050358683,0.00322644,N
153,-0.320101716,-0.042186859,A
154,0.012641862,0.275525032,N
155,0.070115464,0.210920051,A
156,0.10803316,0.117010176,A
157,0.183244932,0.371475085,A
158,0.142804689,-0.015504374,A
159,0.383682912,-0.09063545,A
160,-0.371148252,0.46631482,A
161,-0.837292387,0.985381999,A
162,-0.082100458,0.798094708,A
163,0.650098917,0.789191078,A
164,0.122144972,0.294763584,A
165,0.773952553,0.301823272,A
166,-0.163958887,0.081571155,A
167,0.101537286,0.553120058,A
168,0.279075545,0.781209306,A
169,0.017519211,0.568048061,A
170,-0.033923929,0.376807478,A
171,-0.180668258,0.002288254,A
172,-0.207806053,0.148220403,A
173,0.965779754,1.236675872,A
174,0.064502014,0.374682636,A
175,-0.186803627,0.312626934,A
176,-0.324248452,-0.146362459,A
177,0.0960164,0.199642554,A
178,0.055090927,0.395224389,A
179,-0.329491643,-0.310210022,A
180,-0.039908412,0.353845956,A
181,0.437937908,-0.325800594,A
182,-0.404535805,1.278785939,A
